asset_id,product_name,original_file,optimized_file,validation_passed,original_polygons,optimized_polygons,polygon_reduction_percent,original_size_mb,optimized_size_mb,size_reduction_percent,original_load_time_seconds,optimized_load_time_seconds,load_time_improvement_percent,material_count,texture_count,texture_resolution,materials_preserved,textures_preserved,processing_time_seconds,preview_generated,license,status,visual_quality_score_5,optimization_score_5,overall_quality_score_5,review_notes
RAR-3D-001,Avocado,RAR-3D-001-avocado-original.glb,RAR-3D-001-avocado-optimized.glb,True,682,682,0.0,7.7343,7.7345,-0.0,0.008869,0.01075,-21.21,1,3,2048x2048,True,True,0.9138,True,CC0,PENDING_REVIEW,,,,
RAR-3D-002,Water Bottle,RAR-3D-002-water-bottle-original.glb,RAR-3D-002-water-bottle-optimized.glb,True,4510,4226,6.3,8.5513,8.5433,0.09,0.01053,0.024114,-129.0,1,4,2048x2048,True,True,1.3668,True,CC0,PENDING_REVIEW,,,,
RAR-3D-003,Boom Box,RAR-3D-003-boombox-original.glb,RAR-3D-003-boombox-optimized.glb,True,6036,5706,5.47,10.1225,10.1131,0.09,0.02313,0.020267,12.38,1,4,2048x2048,True,True,1.175,True,CC0,PENDING_REVIEW,,,,
RAR-3D-004,Corset,RAR-3D-004-corset-original.glb,RAR-3D-004-corset-optimized.glb,True,18324,17606,3.92,12.8664,12.8423,0.19,0.031176,0.035895,-15.14,1,3,2048x2048,True,True,1.2418,True,CC0,PENDING_REVIEW,,,,
RAR-3D-005,Barramundi Fish,RAR-3D-005-barramundi-fish-original.glb,RAR-3D-005-barramundi-fish-optimized.glb,True,3864,3796,1.76,11.9096,11.9075,0.02,0.033496,0.012125,63.8,1,3,2048x2048,True,True,1.3455,True,CC0,PENDING_REVIEW,,,,
RAR-3D-006,Damaged Helmet,RAR-3D-006-damaged-helmet-original.glb,RAR-3D-006-damaged-helmet-optimized.glb,True,15452,15188,1.71,3.5991,3.5858,0.37,0.007992,0.007649,4.29,1,5,2048x2048,True,True,0.9829,True,Mixed attribution/restriction - manual license review required,PENDING_REVIEW,,,,
